top - 11:08:24 up 5 min,  2 users,  load average: 0.05, 0.25, 0.15
Tasks:  95 total,   1 running,  94 sleeping,   0 stopped,   0 zombie
Cpu(s): 14.9%us,  2.8%sy,  0.0%ni, 80.6%id,  1.7%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1035240k total,   272104k used,   763136k free,    10612k buffers
Swap:        0k total,        0k used,        0k free,   127676k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 4531 root      20   0  2104  900  716 S  0.0  0.1   0:00.00 cron               
 4559 root      20   0  2052  348  224 S  0.0  0.0   0:00.00 jsvc               
 4560 root      20   0  2052  476  340 S  0.0  0.0   0:00.00 jsvc               
 4562 tomcat55  20   0  347m  81m  29m S  0.0  8.0   0:33.13 jsvc               
 4567 daemon    25   5  2316  216   96 S  0.0  0.0   0:00.00 distccd            
 4581 root      20   0 10596 2560 1192 S  0.0  0.2   0:00.01 apache2            
 4582 www-data  20   0 10596 1952  572 S  0.0  0.2   0:00.00 apache2            
 4584 www-data  20   0 10596 1952  572 S  0.0  0.2   0:00.00 apache2            
 4587 www-data  20   0 10596 1952  572 S  0.0  0.2   0:00.00 apache2            
 4589 www-data  20   0 10596 1952  572 S  0.0  0.2   0:00.00 apache2            
 4591 www-data  20   0 10596 1952  572 S  0.0  0.2   0:00.00 apache2            
 4600 root      20   0 66344  25m  16m S  0.0  2.6   0:00.23 rmiregistry        
 4604 root      20   0 12208 2572 1288 S  0.0  0.2   0:00.22 ruby               
 4612 root      20   0  2568 1204  940 S  0.0  0.1   0:00.03 login              
 4613 root      20   0  8540 2352  796 S  0.0  0.2   0:00.02 unrealircd         
 4620 root      20   0 14036  11m 1272 S  0.0  1.2   0:00.39 Xtightvnc          
 4628 root      20   0  2724 1188 1004 S  0.0  0.1   0:00.00 xstartup           
 4631 root      20   0  5936 2572 2068 S  0.0  0.2   0:00.02 xterm              
 4636 root      20   0  8988 4996 4076 S  0.0  0.5   0:00.65 fluxbox            
 4666 root      20   0  2852 1548 1220 S  0.0  0.1   0:00.00 bash               
 4714 msfadmin  20   0  4616 1988 1364 S  0.0  0.2   0:00.03 bash               

