top - 13:46:09 up 25 min,  2 users,  load average: 0.02, 0.02, 0.03
Tasks:  99 total,   1 running,  98 sleeping,   0 stopped,   0 zombie
Cpu(s):  3.6%us,  0.6%sy,  0.0%ni, 95.4%id,  0.3%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1035240k total,   296000k used,   739240k free,    15424k buffers
Swap:        0k total,        0k used,        0k free,   135448k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 4575 root      20   0  2104  892  716 S  0.0  0.1   0:00.00 cron               
 4603 root      20   0  2052  348  224 S  0.0  0.0   0:00.00 jsvc               
 4604 root      20   0  2052  476  340 S  0.0  0.0   0:00.00 jsvc               
 4606 tomcat55  20   0  355m  88m  29m S  0.0  8.8   0:42.48 jsvc               
 4624 daemon    25   5  2316  216   96 S  0.0  0.0   0:00.00 distccd            
 4625 root      20   0 10596 2560 1192 S  0.0  0.2   0:00.05 apache2            
 4626 www-data  20   0 10728 2496 1048 S  0.0  0.2   0:00.00 apache2            
 4628 www-data  20   0 10596 2468 1040 S  0.0  0.2   0:00.00 apache2            
 4631 www-data  20   0 10728 2492 1048 S  0.0  0.2   0:00.00 apache2            
 4633 www-data  20   0 10596 2464 1036 S  0.0  0.2   0:00.00 apache2            
 4635 www-data  20   0 10732 2492 1044 S  0.0  0.2   0:00.00 apache2            
 4644 root      20   0 74540  25m  16m S  0.0  2.6   0:00.23 rmiregistry        
 4648 root      20   0 12208 2564 1288 S  0.0  0.2   0:00.82 ruby               
 4656 root      20   0  2568 1204  940 S  0.0  0.1   0:00.02 login              
 4661 root      20   0  8540 2496  936 S  0.0  0.2   0:00.12 unrealircd         
 4664 root      20   0 13924  11m 1296 S  0.0  1.2   0:00.87 Xtightvnc          
 4672 root      20   0  2724 1188 1004 S  0.0  0.1   0:00.00 xstartup           
 4675 root      20   0  5936 2572 2068 S  0.0  0.2   0:00.02 xterm              
 4678 root      20   0  8988 4992 4076 S  0.0  0.5   0:01.43 fluxbox            
 4710 root      20   0  2852 1544 1220 S  0.0  0.1   0:00.00 bash               
 4726 msfadmin  20   0  4624 2020 1392 S  0.0  0.2   0:00.09 bash               
 4786 www-data  20   0 10732 2464 1020 S  0.0  0.2   0:00.00 apache2            
 4820 postfix   20   0  5788 2452 1788 S  0.0  0.2   0:00.00 tlsmgr             
 4838 www-data  20   0  2500  620  476 S  0.0  0.1   0:00.00 testing.sh         
 4839 www-data  20   0  1172 1076    0 S  0.0  0.1   0:00.12 CzlBz              

