Notified,Source,Destination,Protocol,Length,Info
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,192.168.56.101,192.168.56.255,BROWSER,286,"Local Master Announcement METASPLOITABLE, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Master Browser"
0,192.168.56.101,192.168.56.255,BROWSER,257,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
0,PcsCompu_86:c6:d7,Broadcast,ARP,60,Who has 192.168.56.100? Tell 192.168.56.101
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,PcsCompu_fd:5d:52,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.106
0,PcsCompu_86:c6:d7,PcsCompu_fd:5d:52,ARP,60,192.168.56.101 is at 08:00:27:86:c6:d7
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"995  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"445  >  42752 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
1,192.168.56.106,192.168.56.101,TCP,54,42752  >  445 [RST] Seq=1 Win=0 Len=0
1,192.168.56.101,192.168.56.106,TCP,60,"554  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"1723  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
